repository,pr_title,pr_url,resolution_strategy,linked_issue,detected_at,comments,resolved_at,time_to_merge,time_from_detection_to_resolution,logged_time,time_to_merge_normalized,java_code_changes,comments_normalized,pure_comments
stargate/stargate,"SGv2: exclude old validation api, update to latest DropWizard",https://github.com/stargate/stargate/pull/1493,exclude the transitive dependency,,,8,2021-12-15T21:34:11Z,0.069722222,,,-0.216366665,0,0.154642262,8
StarRocks/starrocks,[Enhancement] Support Iceberg rest catalog with vended credential disabled,https://github.com/StarRocks/starrocks/pull/49141,upgrade in own dependencyManagement,,,6,2024-08-08T02:23:47Z,209.3975,,,0.567293878,10,,0
StarRocks/starrocks,[BugFix] downgrade jetty to 9.x for hadoop-azure,https://github.com/StarRocks/starrocks/pull/57898,downgrade in own dependencyManagement,,,10,2025-04-11T12:19:04Z,23.81611111,,,-0.140898125,0,,0
starrocks/starrocks-connector-for-apache-flink,Fix shade jackson,https://github.com/StarRocks/starrocks-connector-for-apache-flink/pull/163,use shade plugin to relocate jackson dependencies in uber jar,https://github.com/StarRocks/starrocks-connector-for-apache-flink/issues/135,2022-11-04T02:46:21Z,0,2022-12-14T08:30:21Z,24.49527778,965.7333333,,-0.156584402,0,-0.245645279,0
streamnative/aop,Exclude grpc-related packages from pulsar-broker,https://github.com/streamnative/aop/pull/520,"upgrade the dependency version, exclude the transitive dependencies",,,2,2022-04-24T16:47:33Z,0.54,,,-0.269098449,0,-0.058841151,1
streamnative/kop,Exclude grpc package from pulsar-broker,https://github.com/streamnative/kop/pull/1253,"upgrade the dependency version, exclude the transitive dependencies",,,8,2022-04-24T07:53:49Z,4.5875,,,-0.420803126,0,0.469623422,7
streamnative/kop,upgrade pulsar dependency to 2.8.0-rc-202105251229,https://github.com/streamnative/kop/pull/528,upgrade the dependency version,,,0,2021-05-26T13:11:42Z,0.986666667,,,-0.439035802,33,-0.484801942,0
streamnative/mop,Add jackson dependency to avoid compile issue.,https://github.com/streamnative/mop/pull/1406,"exclude the parent dependency, add the dependency explicitly as a direct dependency, use BOM to align all jackson versions",,,1,2024-08-14T12:54:07Z,0.242222222,,,-0.187098719,0,-0.229510026,0
syndesisio/syndesis,fix: revert `google-api-services-gmail` upgrade,https://github.com/syndesisio/syndesis/pull/7282,downgrade the dependency version,https://issues.redhat.com/browse/ENTESB-12192,2019-11-05T09:28:00Z,2,2019-11-29T19:33:12Z,2.404166667,586.0866667,,-0.23132271,53,,1
tencent/spring-cloud-tencent,fix guava version conflict bug & fix router strong dependency on Load…,https://github.com/Tencent/spring-cloud-tencent/pull/236,add the dependency explicitly in the dependencyManagement,https://github.com/Tencent/spring-cloud-tencent/issues/231,2022-06-14T07:11:47Z,3,2022-06-16T03:40:11Z,15.24694444,44.47333333,,-0.106517858,114,0.315941289,3
tencent/spring-cloud-tencent,fix not load application.yml bug & fix guava version conflict bug,https://github.com/Tencent/spring-cloud-tencent/pull/284,add the dependency explicitly in the dependencyManagement,,,1,2022-06-23T04:26:27Z,0.975833333,,,-0.285039278,601,-0.213012279,1
thingsboard/thingsboard,[3.3.1] Mqtt transport handler test with cleanup old netty versions,https://github.com/thingsboard/thingsboard/pull/5027,exclude the transitive dependencies,,,0,2021-08-04T16:02:16Z,23.33722222,,,-0.262067769,327,,0
trinodb/trino,Introduce IcebergFileWriter and collect file stats directly from ORC writers,https://github.com/trinodb/trino/pull/4055,remove the dependency altogether,,,27,2020-06-29T22:36:19Z,310.3811111,,,0.028210705,807,,27
games647/changeskin,Added latest Guava and SLF4J versions compatibility,https://github.com/TuxCoding/ChangeSkin/pull/238,exclude the dependency from the shaded jar,,,0,2021-12-01T15:57:43Z,15.52416667,,,-0.494484655,4,-0.402468953,0
TuxCoding/FastLogin,Added latest Guava and SLF4J compatibility,https://github.com/TuxCoding/FastLogin/pull/659,use shade plugin to relocate google.common in uber jar,,,1,2021-12-01T15:34:14Z,15.23472222,,,-0.225477352,7,-0.173013442,1
uscdatascience/sparkler,Felix version conflicts fixed AND option to disable plugins,https://github.com/USCDataScience/sparkler/pull/77,replace with another dependency,,,5,2017-02-08T04:36:20Z,24.66722222,,,-0.359264855,14,0.175709867,5
vaadin/flow,chore: Upgrade webdrivermanager and delete node modules properly,https://github.com/vaadin/flow/pull/17379,upgrade parent dependency in own dependencyManagement,,,3,2023-08-08T08:14:51Z,21.86416667,,,-0.154102114,0,,0
vaadin/hilla,chore: upgrade flow to fix atmosphere runtime convergence,https://github.com/vaadin/hilla/pull/2640,upgrade parent dependency in own dependencyManagement,,,2,2024-08-06T07:25:10Z,21.02277778,,,-0.220833197,0,-0.405099218,0
wesjd/anvilgui,Fix: NoSuchMethodError on 1.19.1,https://github.com/WesJD/AnvilGUI/pull/222,use reflection code to handle method incompatibility,https://github.com/WesJD/AnvilGUI/issues/221,2022-07-28T21:54:37Z,4,2022-07-29T15:16:53Z,1.910833333,17.37111111,,-0.492499065,50,0.334741382,4
