repository,pr_title,pr_url,resolution_strategy,linked_issue,detected_at,comments,resolved_at,time_to_merge,time_from_detection_to_resolution,logged_time,time_to_merge_normalized,java_code_changes,comments_normalized,pure_comments
apache/pulsar,Fix: split-package conflict while server startup,https://github.com/apache/pulsar/pull/122,exclude the transitive dependency,,,2,2016-11-21T03:06:48Z,0.355555556,,,-0.247200068,0,,2
apache/pulsar,"Revert ""Upgrade Rocksdb to 6.29.4.1 (#14886)""",https://github.com/apache/pulsar/pull/14962,downgrade in own dependencyManagement,https://github.com/apache/pulsar/issues/14961,2022-03-31T06:58:29Z,4,2022-03-31T08:53:34Z,1.868888889,1.918055556,,-0.245485198,0,,4
apache/pulsar,[branch-2.7] Upgrade the BookKeeper version to 4.12.1,https://github.com/apache/pulsar/pull/16775,upgrade the parent dependency,,,2,2022-07-27T07:25:29Z,45.35388889,,,-0.19620914,0,,2
apache/pulsar,Fix grpc version conflicts in pulsar binary distribution,https://github.com/apache/pulsar/pull/1846,"add the dependency explicitly in the dependencyManagement, exclude the transitive dependencies",,,2,2018-05-26T16:33:28Z,10.44277778,,,-0.235769493,0,,2
apache/pulsar,[fix] Upgrade Vertx to match BK's version (otherwise BK does not work),https://github.com/apache/pulsar/pull/20070,upgrade in own dependencyManagement,,,2,2023-04-12T02:28:26Z,4.403055556,,,-0.242613547,0,,2
apache/pulsar,[tiered storage] Pulsar standalone hangs when s3 offloader is enabled,https://github.com/apache/pulsar/pull/2374,exclude the transitive dependency,,,5,2018-08-16T19:54:36Z,42.6425,,,-0.199281615,32,,2
apache/pulsar,moving pulsar storm tests under tests,https://github.com/apache/pulsar/pull/3000,exclude the transitive dependency,,,4,2018-11-16T23:03:20Z,1.887777778,,,-0.245463794,0,,4
apache/pulsar,[client] Make dependency from client side auth plugins to pulsar-client-original optional,https://github.com/apache/pulsar/pull/3957,make the depedency optional,,,1,2019-04-01T16:35:01Z,6.169444444,,,-0.240611922,0,,1
apache/pulsar,fix dependency issue with pulsar-io-common,https://github.com/apache/pulsar/pull/4398,replace with another dependency,,,3,2019-05-29T22:52:26Z,22.46861111,,,-0.222142135,4,,0
apache/pulsar,fix #6834:  add pulsar-client-messagecrypto-bc into pulsar-client dependency to avoid method not found,https://github.com/apache/pulsar/pull/7447,add the dependency explicitly as a direct dependency,https://github.com/apache/pulsar/issues/6834,2020-04-28T17:14:18Z,2,2020-07-05T14:39:08Z,47.44583333,1629.413889,,-0.193838604,0,,2
apache/pulsar,Rollback protobuf version to 3.5.1,https://github.com/apache/pulsar/pull/8014,downgrade the dependency version,,,10,2020-09-10T10:40:57Z,32.52138889,,,-0.210750592,0,,10
apache/pulsar,Update gson version to 2.8.6,https://github.com/apache/pulsar/pull/8601,upgrade in own dependencyManagement,,,0,2020-11-18T07:05:52Z,4.753055556,,,-0.242216936,0,,0
apache/pulsar,Include pulsar-client-admin-api in the shaded version of pulsar-client-admin,https://github.com/apache/pulsar/pull/9689,include the dependency in the shaded jar,,,4,2021-02-24T23:01:28Z,25.69583333,,,-0.218485132,0,,4
