repository,pr_title,pr_url
wavefronthq/wavefront-proxy,Clean up version conflicts and redundant dependencies,https://github.com/wavefrontHQ/wavefront-proxy/pull/75
jenkinsci/github-checks-plugin,Add support for GitSCM sources,https://github.com/jenkinsci/github-checks-plugin/pull/26
apache/camel-k-runtime,"Revert ""build(deps): bump logstash-logback-encoder from 7.3 to 7.4""",https://github.com/apache/camel-k-runtime/pull/1053
googleapis/java-firestore,"fix: revert ""Feat: Record serialization/deserialization""",https://github.com/googleapis/java-firestore/pull/1833
googleapis/java-bigtable,deps: fix UpperBoundsDep check for checker-qual,https://github.com/googleapis/java-bigtable/pull/941
googleapis/java-bigtable,chore: ensure that transitive deps have the latest version selected,https://github.com/googleapis/java-bigtable/pull/203
googleapis/java-bigtable,Add section about gRPC version conflicts to README,https://github.com/googleapis/java-bigtable/pull/53
finos/legend-engine,Fix snakeyaml version,https://github.com/finos/legend-engine/pull/30
line/armeria,Test the compatibility with hbase-shaded-client,https://github.com/line/armeria/pull/304
apache/servicecomb-java-chassis,[SCB-2502]fix jdk version conflict in profile,https://github.com/apache/servicecomb-java-chassis/pull/2870
openidentityplatform/openam,FIX cargo-maven3-plugin uberwar: java.lang.NoSuchMethodError: void org.codehaus.plexus.util.xml.Xpp3Dom.<init>,https://github.com/OpenIdentityPlatform/OpenAM/pull/633
elastic/apm-agent-java,Prevent NoSuchMethodErrors on pre Servlet-api 3.0 versions in spring instrumentation.,https://github.com/elastic/apm-agent-java/pull/3172
elastic/apm-agent-java,Fix NoSuchMethodError in external-plugin-test,https://github.com/elastic/apm-agent-java/pull/1312
elastic/apm-agent-java,Attachment without tools.jar,https://github.com/elastic/apm-agent-java/pull/791
consensys/tessera,Bugfix bouncycastle version conflict,https://github.com/Consensys/tessera/pull/736
apollographql/federation-jvm,"**/pom.xml: Add Maven Enforcer and Dependency plugins, and tidy up build system",https://github.com/apollographql/federation-jvm/pull/123
azuread/microsoft-authentication-library-for-java,API fixes,https://github.com/AzureAD/microsoft-authentication-library-for-java/pull/828
microsoft/botbuilder-java,Updated dependencies and resolved most version conflicts,https://github.com/microsoft/botbuilder-java/pull/1018
powernukkit/powernukkit,Backward compatibility fix with AntiXRay PowerNukkit port.,https://github.com/PowerNukkit/PowerNukkit/pull/1344
eclipse/sw360,fix(licenseinfo): Exclude old commons-lang3 dependencies,https://github.com/eclipse-sw360/sw360/pull/459
prebid/prebid-server-java,Fix httpclient dependency,https://github.com/prebid/prebid-server-java/pull/1476
prebid/prebid-server-java,Fix Jackson dependency in bundle submodule,https://github.com/prebid/prebid-server-java/pull/1459
citrusframework/yaks,fix[ENTESB-12609]: Spring major version conflicts,https://github.com/citrusframework/yaks/pull/39
wso2/carbon-identity-framework,Fix version conflicts in secret mgt feature,https://github.com/wso2/carbon-identity-framework/pull/3665
wso2/carbon-identity-framework,Update framework version,https://github.com/wso2/carbon-identity-framework/pull/1489
googleapis/java-spanner,fix: use grpc 1.27.2 to prevent version conflicts,https://github.com/googleapis/java-spanner/pull/105
apache/skywalking,Add an agent plugin to support elasticsearch7 ,https://github.com/apache/skywalking/pull/6759
thingsboard/thingsboard,[3.3.1] Mqtt transport handler test with cleanup old netty versions,https://github.com/thingsboard/thingsboard/pull/5027
alibaba/nacos,"[ISSUE #7698] refactor: remove httpasyncclient version dependency management,  avoid version conflicts",https://github.com/alibaba/nacos/pull/10170
alibaba/nacos,Upgrade to 1.3.2,https://github.com/alibaba/nacos/pull/3519
janusgraph/janusgraph,Fix snakeyaml NoSuchMethodError in remote console,https://github.com/JanusGraph/janusgraph/pull/3764
apache/incubator-dolphinscheduler,[Fix-14512][BOM] kubernetes-client version conflict,https://github.com/apache/dolphinscheduler/pull/14561
openapitools/openapi-generator,[online] Fix for version conflicts with springfox/boot,https://github.com/OpenAPITools/openapi-generator/pull/7102
openapitools/openapi-generator,java-springcloud: No dependency management if parent overridden,https://github.com/OpenAPITools/openapi-generator/pull/3301
openapitools/openapi-generator,[CLI] Fix help command,https://github.com/OpenAPITools/openapi-generator/pull/1279
openapitools/openapi-generator,[Java][RESTEasy] Fix version incompatibility,https://github.com/OpenAPITools/openapi-generator/pull/594
apache/pulsar,[fix] Upgrade Vertx to match BK's version (otherwise BK does not work),https://github.com/apache/pulsar/pull/20070
apache/pulsar,[branch-2.7] Upgrade the BookKeeper version to 4.12.1,https://github.com/apache/pulsar/pull/16775
apache/pulsar,"Revert ""Upgrade Rocksdb to 6.29.4.1 (#14886)""",https://github.com/apache/pulsar/pull/14962
apache/pulsar,Fix java.lang.NoSuchMethodError: java.nio.ByteBuffer.position(I)Ljava/nio/ByteBuffer when enabling topic metadata compression,https://github.com/apache/pulsar/pull/11594
apache/pulsar,[Build] Specify release in maven-compiler-plugin configuration on JDK11,https://github.com/apache/pulsar/pull/10343
apache/pulsar,Include pulsar-client-admin-api in the shaded version of pulsar-client-admin,https://github.com/apache/pulsar/pull/9689
apache/pulsar,Update gson version to 2.8.6,https://github.com/apache/pulsar/pull/8601
apache/pulsar,Update ZooKeeper to 3.6.2 and Curator to 5.1.0,https://github.com/apache/pulsar/pull/8590
apache/pulsar,Rollback protobuf version to 3.5.1,https://github.com/apache/pulsar/pull/8014
apache/pulsar,fix #6834:  add pulsar-client-messagecrypto-bc into pulsar-client dependency to avoid method not found,https://github.com/apache/pulsar/pull/7447
apache/pulsar,fix dependency issue with pulsar-io-common,https://github.com/apache/pulsar/pull/4398
apache/pulsar,[client] Make dependency from client side auth plugins to pulsar-client-original optional,https://github.com/apache/pulsar/pull/3957
apache/pulsar,moving pulsar storm tests under tests,https://github.com/apache/pulsar/pull/3000
apache/pulsar,Broke Pulsar-IO::HDFS into 3.x and 2.x versions,https://github.com/apache/pulsar/pull/2966
apache/pulsar,[tiered storage] Pulsar standalone hangs when s3 offloader is enabled,https://github.com/apache/pulsar/pull/2374
apache/pulsar,[tiered storage] move offloader implementation to a separate module,https://github.com/apache/pulsar/pull/2371
apache/pulsar,Fix grpc version conflicts in pulsar binary distribution,https://github.com/apache/pulsar/pull/1846
apache/pulsar,Fix: split-package conflict while server startup,https://github.com/apache/pulsar/pull/122
apache/iotdb,[IOTDB-5772] spark-iotdb-connnector: support scala 2.11 & 2.12 and resolve the Thrift version conflict with Spark's,https://github.com/apache/iotdb/pull/9788
apache/iotdb,[IOTDB-336]declare that the release version of JDK is 8,https://github.com/apache/iotdb/pull/617
googlecloudplatform/getting-started-java,fix(deps): update dependency org.jetbrains.kotlin:kotlin-stdlib to v1.6.0 [security],https://github.com/GoogleCloudPlatform/getting-started-java/pull/1200
googlecloudplatform/getting-started-java,fix(deps): update dependency org.springframework.boot:spring-boot-starter-web to v2.6.5,https://github.com/GoogleCloudPlatform/getting-started-java/pull/1156
googlecloudplatform/getting-started-java,chore(deps): update kotlin packages to v1.5.10,https://github.com/GoogleCloudPlatform/getting-started-java/pull/968
googlecloudplatform/getting-started-java,chore(deps): update kotlin packages to v1.4.30,https://github.com/GoogleCloudPlatform/getting-started-java/pull/882
googlecloudplatform/getting-started-java,Update dependency org.springframework.boot:spring-boot-starter-web to v2.3.1.RELEASE,https://github.com/GoogleCloudPlatform/getting-started-java/pull/684
googlecloudplatform/getting-started-java,Update Kotlin packages to v1.3.71,https://github.com/GoogleCloudPlatform/getting-started-java/pull/625
googlecloudplatform/getting-started-java,Update spring boot to v2.2.4.RELEASE,https://github.com/GoogleCloudPlatform/getting-started-java/pull/556
googlecloudplatform/getting-started-java,Update dependency org.jetbrains.kotlin:kotlin-stdlib-jdk8 to v1.3.60,https://github.com/GoogleCloudPlatform/getting-started-java/pull/494
googlecloudplatform/getting-started-java,Update dependency org.jetbrains.kotlin:kotlin-stdlib to v1.3.60,https://github.com/GoogleCloudPlatform/getting-started-java/pull/493
googlecloudplatform/getting-started-java,Update dependency org.jetbrains.kotlin:kotlin-reflect to v1.3.60,https://github.com/GoogleCloudPlatform/getting-started-java/pull/492
googlecloudplatform/getting-started-java,Update dependency org.jetbrains.kotlin:kotlin-stdlib-jdk8 to v1.3.50,https://github.com/GoogleCloudPlatform/getting-started-java/pull/471
googlecloudplatform/getting-started-java,Update dependency org.jetbrains.kotlin:kotlin-stdlib to v1.3.50,https://github.com/GoogleCloudPlatform/getting-started-java/pull/470
googlecloudplatform/getting-started-java,Update dependency org.jetbrains.kotlin:kotlin-reflect to v1.3.50,https://github.com/GoogleCloudPlatform/getting-started-java/pull/469
syndesisio/syndesis,fix: revert `google-api-services-gmail` upgrade,https://github.com/syndesisio/syndesis/pull/7282
sap/cloud-security-xsuaa-integration,Update json troubleshooting,https://github.com/SAP/cloud-security-services-integration-library/pull/302
streamnative/kop,Exclude grpc package from pulsar-broker,https://github.com/streamnative/kop/pull/1253
streamnative/kop,upgrade pulsar dependency to 2.8.0-rc-202105251229,https://github.com/streamnative/kop/pull/528
hotelsdotcom/circus-train,"Guava version conflicts, managed dependencies for Google Cloud",https://github.com/ExpediaGroup/circus-train/pull/39
alfresco/alfresco-community-repo,"Revert ""Bump dependency.log4j.version from 2.23.1 to 2.24.2""",https://github.com/Alfresco/alfresco-community-repo/pull/3063
geysermc/geyser,Relocate Google Common,https://github.com/GeyserMC/Geyser/pull/1242
googlecloudplatform/dataflowtemplates,Fix a few dependency conflicts,https://github.com/GoogleCloudPlatform/DataflowTemplates/pull/1838
googlecloudplatform/dataflowtemplates,updated proto-java to 3.21.9 to resolve conflicts,https://github.com/GoogleCloudPlatform/DataflowTemplates/pull/580
stargate/stargate,"SGv2: exclude old validation api, update to latest DropWizard",https://github.com/stargate/stargate/pull/1493
stargate/stargate,Remove use of unshaded guava (fix #1229),https://github.com/stargate/stargate/pull/1253
confluentinc/ksql,fix: Upgrade netty to 4.1.89.Final,https://github.com/confluentinc/ksql/pull/10033
confluentinc/ksql,Upgrade netty to 4.1.87.Final,https://github.com/confluentinc/ksql/pull/9904
confluentinc/ksql,chore: bump protobuf version to 3.17.0,https://github.com/confluentinc/ksql/pull/7711
googleapis/java-spanner-jdbc,deps: update dependency org.postgresql:postgresql to v42.7.3,https://github.com/googleapis/java-spanner-jdbc/pull/1532
googleapis/java-spanner-jdbc,deps: update dependency org.postgresql:postgresql to v42.7.1,https://github.com/googleapis/java-spanner-jdbc/pull/1441
googleapis/java-spanner-jdbc,deps: update dependency org.springframework.boot:spring-boot-starter-parent to v3.2.2,https://github.com/googleapis/java-spanner-jdbc/pull/1425
googleapis/java-spanner-jdbc,deps: update dependency org.springframework.boot:spring-boot-starter-data-jdbc to v3.2.2,https://github.com/googleapis/java-spanner-jdbc/pull/1424
googleapis/java-spanner-jdbc,deps: update spanner.version to v1.52.0,https://github.com/googleapis/java-spanner-jdbc/pull/95
apache/camel-quarkus,"Fix XSLT extension NoSuchMethodError: TransformerFactory.newInstance(String,ClassLoader)",https://github.com/apache/camel-quarkus/pull/736
prestosql/presto,Move FailureRecovery tests to plugin modules,https://github.com/trinodb/trino/pull/15497
prestosql/presto,Introduce IcebergFileWriter and collect file stats directly from ORC writers,https://github.com/trinodb/trino/pull/4055
googleapis/java-storage,build: switch to using junit 5 bom,https://github.com/googleapis/java-storage/pull/2680
apache/beam,[BEAM-3668] Quick workaround fix for netty conflict waiting better fix by BEAM-3519,https://github.com/apache/beam/pull/4653
quarkusio/quarkus,"Bump kotlin to 1.5.30, coroutines to 1.5.1, dokka to 1.5.0",https://github.com/quarkusio/quarkus/pull/19632
quarkusio/quarkus,Added org.bouncycastle:bcpkix-jdk15on to bom,https://github.com/quarkusio/quarkus/pull/14025
quarkusio/quarkus,fix: version conflict for http-nio.,https://github.com/quarkusio/quarkus/pull/7393
apache/shardingsphere,Fix netty multi version conflict problem,https://github.com/apache/shardingsphere/pull/7299
bastian/bstats-metrics,Make Bukkit getOnlinePlayer method calls return type-safe,https://github.com/Bastian/bstats-metrics/pull/3
aws-greengrass/aws-greengrass-nucleus,fix: Catch NoSuchMethodError in ALPN implementation for old JDK8 versions,https://github.com/aws-greengrass/aws-greengrass-nucleus/pull/815
ververica/flink-cdc-connectors,[FLINK-36858][pipeline-connector][kafka] Fix compatibility with Flink 1.20 JsonRowDataSerializationSchema,https://github.com/apache/flink-cdc/pull/3784
ververica/flink-cdc-connectors,[oceanbase] shade apache commons package,https://github.com/apache/flink-cdc/pull/1532
streamnative/aop,Exclude grpc-related packages from pulsar-broker,https://github.com/streamnative/aop/pull/520
apache/datasketches-java,Fix compiler release setting,https://github.com/apache/datasketches-java/pull/409
games647/changeskin,Added latest Guava and SLF4J versions compatibility,https://github.com/TuxCoding/ChangeSkin/pull/238
cqfn/eo,fix(#2668): fix test with child parameters,https://github.com/objectionary/eo/pull/2677
googlecloudplatform/fda-mystudies,[v2.0.6] Fixed issue [Mobile] Studies are not displaying in Study list screen in mobile #3609,https://github.com/GoogleCloudPlatform/fda-mystudies/pull/3610
googlecloudplatform/google-cloud-spanner-hibernate,chore(deps): update spring boot to v3.2.5,https://github.com/GoogleCloudPlatform/google-cloud-spanner-hibernate/pull/1065
trinodb/trino,Move FailureRecovery tests to plugin modules,https://github.com/trinodb/trino/pull/15497
trinodb/trino,Introduce IcebergFileWriter and collect file stats directly from ORC writers,https://github.com/trinodb/trino/pull/4055
apache/incubator-doris,[Fix](ranger)Resolving JSR 311 conflicts (#37575),https://github.com/apache/doris/pull/38109
apache/incubator-doris,[Fix](ranger)Resolving JSR 311 conflicts,https://github.com/apache/doris/pull/37575
apache/incubator-doris,[bug](compile) fix fe compile error,https://github.com/apache/doris/pull/19946
apache/incubator-doris,[Bug](web) fix web of frontend meet error,https://github.com/apache/doris/pull/19279
apache/incubator-doris,[Fix](fe)Upgrade hive-catalog-shade version to 1.0.3,https://github.com/apache/doris/pull/18690
apache/incubator-doris,[fix][chore](insert)(fe) Fix analysis error of insert stmt and modify grpc-netty dependency,https://github.com/apache/doris/pull/8265
openrewrite/rewrite-maven-plugin,Add `rewrite-bom` BOM dependency,https://github.com/openrewrite/rewrite-maven-plugin/pull/592
googlecloudplatform/google-cloud-eclipse,Change Java 8 support to use separate App Engine Standard facet versions,https://github.com/GoogleCloudPlatform/google-cloud-eclipse/pull/2079
pinterest/teletraan,Teletraan dependency clean up,https://github.com/pinterest/teletraan/pull/1526
pinterest/teletraan,fix the jackson library conflict,https://github.com/pinterest/teletraan/pull/621
awslabs/emr-dynamodb-connector,Remove shading and relocation for AWS SDKv2 dependencies,https://github.com/awslabs/emr-dynamodb-connector/pull/218
awslabs/emr-dynamodb-connector,Remove shading and relocation for AWS SDKv2 dependencies,https://github.com/awslabs/emr-dynamodb-connector/pull/217
awslabs/emr-dynamodb-connector,Remove shading and relocation for AWS SDKv2 dependencies,https://github.com/awslabs/emr-dynamodb-connector/pull/216
awslabs/emr-dynamodb-connector,Remove shading and relocation for AWS SDKv2 dependencies,https://github.com/awslabs/emr-dynamodb-connector/pull/214
awslabs/emr-dynamodb-connector,Remove shading and relocation for AWS SDKv2 dependencies,https://github.com/awslabs/emr-dynamodb-connector/pull/213
awslabs/emr-dynamodb-connector,Remove relocation for AWS SDKv2 dependencies,https://github.com/awslabs/emr-dynamodb-connector/pull/212
quarkiverse/quarkus-logging-manager,Attempting to Resolve NoSuchMethodError in Quarkus 3.1.0.Final,https://github.com/quarkiverse/quarkus-logging-manager/pull/199
jenkinsci/opentelemetry-plugin,Use the Jenkins okhttp-api plugin as a dependency to pull OKHTTP preventing version conflicts,https://github.com/jenkinsci/opentelemetry-plugin/pull/293
webankfintech/linkis,Dispose of sqoop engine startup failure due to dependency library conflict,https://github.com/apache/linkis/pull/2356
webankfintech/linkis,use spring-boot-starter-jetty,https://github.com/apache/linkis/pull/1660
sap/olingo-jpa-processor-v4,chore(deps): Update dependencies,https://github.com/SAP/olingo-jpa-processor-v4/pull/243
jenkinsci/pipeline-graph-view-plugin,Use ionicons-api version provided by bom,https://github.com/jenkinsci/pipeline-graph-view-plugin/pull/193
apache/incubator-inlong,[INLONG-10318][Agent] Add PostgreSQL data source for Agent,https://github.com/apache/inlong/pull/10320
apache/dolphinscheduler,[Fix-14512][BOM] kubernetes-client version conflict,https://github.com/apache/dolphinscheduler/pull/14561
